 VDS(V)  ID(V), VG = 2.0  VDS(V)  ID(V), VG = 4.0  VDS(V)  ID(V), VG = 6.0  VDS(V)  ID(V), VG = 8.0  VDS(V)  ID(V), VG = 10.0  VDS(V)  ID(V), VG = 12.0
    5.6         0.000032     5.6         0.000089     5.6         0.000167     5.6         0.000246     5.6          0.000325     5.6          0.000404
    5.7         0.000032     5.7         0.000089     5.7         0.000167     5.7         0.000248     5.7          0.000329     5.7          0.000410
    5.8         0.000032     5.8         0.000089     5.8         0.000168     5.8         0.000250     5.8          0.000333     5.8          0.000415
    5.9         0.000032     5.9         0.000089     5.9         0.000169     5.9         0.000253     5.9          0.000336     5.9          0.000420
    6.0         0.000032     6.0         0.000089     6.0         0.000170     6.0         0.000255     6.0          0.000340     6.0          0.000425
    6.1         0.000032     6.1         0.000089     6.1         0.000171     6.1         0.000257     6.1          0.000343     6.1          0.000430
    6.2         0.000032     6.2         0.000089     6.2         0.000171     6.2         0.000259     6.2          0.000347     6.2          0.000435
    6.3         0.000032     6.3         0.000089     6.3         0.000172     6.3         0.000261     6.3          0.000350     6.3          0.000439
    6.4         0.000032     6.4         0.000089     6.4         0.000172     6.4         0.000263     6.4          0.000353     6.4          0.000444
    6.5         0.000032     6.5         0.000089     6.5         0.000173     6.5         0.000265     6.5          0.000357     6.5          0.000449
    6.6         0.000032     6.6         0.000089     6.6         0.000173     6.6         0.000266     6.6          0.000360     6.6          0.000453
    6.7         0.000032     6.7         0.000089     6.7         0.000173     6.7         0.000268     6.7          0.000363     6.7          0.000458
    6.8         0.000032     6.8         0.000089     6.8         0.000173     6.8         0.000270     6.8          0.000366     6.8          0.000462
    6.9         0.000032     6.9         0.000089     6.9         0.000173     6.9         0.000271     6.9          0.000369     6.9          0.000467
    7.0         0.000032     7.0         0.000089     7.0         0.000173     7.0         0.000273     7.0          0.000372     7.0          0.000471
    7.1         0.000032     7.1         0.000089     7.1         0.000173     7.1         0.000274     7.1          0.000374     7.1          0.000475
